start_x,stop_x,patient_id,encounter_id_x,code_x,description,encounter_id_y,start_y,stop_y,encounterclass,code_y,base_encounter_cost,total_claim_cost,payer_coverage,healthcare_expenses,healthcare_coverage,encounter_reason,birthdate,deathdate,ssn,prefix,marital,race,ethnicity,gender,birthplace,city,state,county,latitude,longitude,age_today,status,country,days_in_hospital,days_in_hospital_int,service_in_minutes,medical_center,practicioner_name,practicioner_gender,medical_aid_scheme,encounter_year,allergy_count
2018-07-30,,2f43a131-a43a-4c8c-a723-cc261adb9cc6,dbbace5a-29c8-458d-805b-2c3f7cbed818,232347008,Dander (animal),dbbace5a-29c8-458d-805b-2c3f7cbed818,2018-07-31 02:47:44,2018-07-31 03:22:44,ambulatory,185347001,129.16,129.16,69.16,10057.19,1766.56,allergy,2017-02-23,,999-40-3169,ms.,single,white,hispanic,female,san jose  san jose ,boston,massachusetts,suffolk county,42.43109777176137,-71.00157229853994,7,alive,costa rica,0 days 00:35:00,0,35,hallmark health system,vern731 powlowski563,male,medicaid,2018,1
2018-07-30,,2f43a131-a43a-4c8c-a723-cc261adb9cc6,dbbace5a-29c8-458d-805b-2c3f7cbed818,418689008,Grass Pollen,dbbace5a-29c8-458d-805b-2c3f7cbed818,2018-07-31 02:47:44,2018-07-31 03:22:44,ambulatory,185347001,129.16,129.16,69.16,10057.19,1766.56,allergy,2017-02-23,,999-40-3169,ms.,single,white,hispanic,female,san jose  san jose ,boston,massachusetts,suffolk county,42.43109777176137,-71.00157229853994,7,alive,costa rica,0 days 00:35:00,0,35,hallmark health system,vern731 powlowski563,male,medicaid,2018,1
2018-07-30,,2f43a131-a43a-4c8c-a723-cc261adb9cc6,dbbace5a-29c8-458d-805b-2c3f7cbed818,419263009,Tree Pollen,dbbace5a-29c8-458d-805b-2c3f7cbed818,2018-07-31 02:47:44,2018-07-31 03:22:44,ambulatory,185347001,129.16,129.16,69.16,10057.19,1766.56,allergy,2017-02-23,,999-40-3169,ms.,single,white,hispanic,female,san jose  san jose ,boston,massachusetts,suffolk county,42.43109777176137,-71.00157229853994,7,alive,costa rica,0 days 00:35:00,0,35,hallmark health system,vern731 powlowski563,male,medicaid,2018,1
2018-07-30,,2f43a131-a43a-4c8c-a723-cc261adb9cc6,dbbace5a-29c8-458d-805b-2c3f7cbed818,91930004,Eggs,dbbace5a-29c8-458d-805b-2c3f7cbed818,2018-07-31 02:47:44,2018-07-31 03:22:44,ambulatory,185347001,129.16,129.16,69.16,10057.19,1766.56,allergy,2017-02-23,,999-40-3169,ms.,single,white,hispanic,female,san jose  san jose ,boston,massachusetts,suffolk county,42.43109777176137,-71.00157229853994,7,alive,costa rica,0 days 00:35:00,0,35,hallmark health system,vern731 powlowski563,male,medicaid,2018,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,300916003,Latex,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,419474003,Mould,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,232350006,Dust Mite,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,232347008,Dander (animal),a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,418689008,Grass Pollen,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,419263009,Tree Pollen,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,420174000,Wheat,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,300913006,Shellfish,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,417532002,Fish,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
2002-01-24,,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,91935009,Peanuts,a61f97fa-70c3-4366-90e1-7c6fdcba5cbb,2002-01-24 20:46:46,2002-01-24 21:31:46,ambulatory,185347001,129.16,129.16,69.16,499730.64,8240.12,allergy,2000-11-21,,999-87-8860,ms.,single,white,nonhispanic,female,nahant  massachusetts ,ashland,massachusetts,middlesex county,42.21389855778067,-71.50369511033304,23,alive,united states,0 days 00:45:00,0,45,milford regional medical center,lonna614 dietrich576,female,cigna health,2002,1
1988-10-14,,ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,4c7ed821-8753-40f3-a18e-31feef7074ef,419474003,Mould,4c7ed821-8753-40f3-a18e-31feef7074ef,1988-10-14 06:08:46,1988-10-14 06:58:46,ambulatory,185347001,129.16,129.16,54.16,718679.1,11799.199999999995,allergy,1987-08-03,,999-47-3790,mr.,single,white,hispanic,male,quincy  massachusetts ,lynnfield,massachusetts,essex county,42.570671540821,-71.04404349781522,37,alive,united states,0 days 00:50:00,0,50,hallmark health system,vern731 powlowski563,male,blue cross blue shield,1988,1
1988-10-14,,ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,4c7ed821-8753-40f3-a18e-31feef7074ef,232350006,Dust Mite,4c7ed821-8753-40f3-a18e-31feef7074ef,1988-10-14 06:08:46,1988-10-14 06:58:46,ambulatory,185347001,129.16,129.16,54.16,718679.1,11799.199999999995,allergy,1987-08-03,,999-47-3790,mr.,single,white,hispanic,male,quincy  massachusetts ,lynnfield,massachusetts,essex county,42.570671540821,-71.04404349781522,37,alive,united states,0 days 00:50:00,0,50,hallmark health system,vern731 powlowski563,male,blue cross blue shield,1988,1
1988-10-14,,ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,4c7ed821-8753-40f3-a18e-31feef7074ef,232347008,Dander (animal),4c7ed821-8753-40f3-a18e-31feef7074ef,1988-10-14 06:08:46,1988-10-14 06:58:46,ambulatory,185347001,129.16,129.16,54.16,718679.1,11799.199999999995,allergy,1987-08-03,,999-47-3790,mr.,single,white,hispanic,male,quincy  massachusetts ,lynnfield,massachusetts,essex county,42.570671540821,-71.04404349781522,37,alive,united states,0 days 00:50:00,0,50,hallmark health system,vern731 powlowski563,male,blue cross blue shield,1988,1
1988-10-14,,ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,4c7ed821-8753-40f3-a18e-31feef7074ef,418689008,Grass Pollen,4c7ed821-8753-40f3-a18e-31feef7074ef,1988-10-14 06:08:46,1988-10-14 06:58:46,ambulatory,185347001,129.16,129.16,54.16,718679.1,11799.199999999995,allergy,1987-08-03,,999-47-3790,mr.,single,white,hispanic,male,quincy  massachusetts ,lynnfield,massachusetts,essex county,42.570671540821,-71.04404349781522,37,alive,united states,0 days 00:50:00,0,50,hallmark health system,vern731 powlowski563,male,blue cross blue shield,1988,1
1988-10-14,,ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,4c7ed821-8753-40f3-a18e-31feef7074ef,419263009,Tree Pollen,4c7ed821-8753-40f3-a18e-31feef7074ef,1988-10-14 06:08:46,1988-10-14 06:58:46,ambulatory,185347001,129.16,129.16,54.16,718679.1,11799.199999999995,allergy,1987-08-03,,999-47-3790,mr.,single,white,hispanic,male,quincy  massachusetts ,lynnfield,massachusetts,essex county,42.570671540821,-71.04404349781522,37,alive,united states,0 days 00:50:00,0,50,hallmark health system,vern731 powlowski563,male,blue cross blue shield,1988,1
2006-05-22,,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,43456878-fc63-45d1-a24f-629aab9752e2,300916003,Latex,43456878-fc63-45d1-a24f-629aab9752e2,2006-05-23 01:18:40,2006-05-23 01:55:40,ambulatory,185347001,129.16,129.16,49.16,297061.55,4562.119999999999,allergy,2005-11-30,,999-75-9476,mr.,mx,asian,nonhispanic,male,waltham  massachusetts ,winchester,massachusetts,middlesex county,42.47282661748736,-71.11767065045873,18,alive,united states,0 days 00:37:00,0,37,winchester hospital,vertie683 towne435,female,humana,2006,1
2006-05-22,,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,43456878-fc63-45d1-a24f-629aab9752e2,419474003,Mould,43456878-fc63-45d1-a24f-629aab9752e2,2006-05-23 01:18:40,2006-05-23 01:55:40,ambulatory,185347001,129.16,129.16,49.16,297061.55,4562.119999999999,allergy,2005-11-30,,999-75-9476,mr.,mx,asian,nonhispanic,male,waltham  massachusetts ,winchester,massachusetts,middlesex county,42.47282661748736,-71.11767065045873,18,alive,united states,0 days 00:37:00,0,37,winchester hospital,vertie683 towne435,female,humana,2006,1
2006-05-22,,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,43456878-fc63-45d1-a24f-629aab9752e2,232350006,Dust Mite,43456878-fc63-45d1-a24f-629aab9752e2,2006-05-23 01:18:40,2006-05-23 01:55:40,ambulatory,185347001,129.16,129.16,49.16,297061.55,4562.119999999999,allergy,2005-11-30,,999-75-9476,mr.,mx,asian,nonhispanic,male,waltham  massachusetts ,winchester,massachusetts,middlesex county,42.47282661748736,-71.11767065045873,18,alive,united states,0 days 00:37:00,0,37,winchester hospital,vertie683 towne435,female,humana,2006,1
2006-05-22,,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,43456878-fc63-45d1-a24f-629aab9752e2,232347008,Dander (animal),43456878-fc63-45d1-a24f-629aab9752e2,2006-05-23 01:18:40,2006-05-23 01:55:40,ambulatory,185347001,129.16,129.16,49.16,297061.55,4562.119999999999,allergy,2005-11-30,,999-75-9476,mr.,mx,asian,nonhispanic,male,waltham  massachusetts ,winchester,massachusetts,middlesex county,42.47282661748736,-71.11767065045873,18,alive,united states,0 days 00:37:00,0,37,winchester hospital,vertie683 towne435,female,humana,2006,1
2006-05-22,,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,43456878-fc63-45d1-a24f-629aab9752e2,418689008,Grass Pollen,43456878-fc63-45d1-a24f-629aab9752e2,2006-05-23 01:18:40,2006-05-23 01:55:40,ambulatory,185347001,129.16,129.16,49.16,297061.55,4562.119999999999,allergy,2005-11-30,,999-75-9476,mr.,mx,asian,nonhispanic,male,waltham  massachusetts ,winchester,massachusetts,middlesex county,42.47282661748736,-71.11767065045873,18,alive,united states,0 days 00:37:00,0,37,winchester hospital,vertie683 towne435,female,humana,2006,1
2006-05-22,,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,43456878-fc63-45d1-a24f-629aab9752e2,419263009,Tree Pollen,43456878-fc63-45d1-a24f-629aab9752e2,2006-05-23 01:18:40,2006-05-23 01:55:40,ambulatory,185347001,129.16,129.16,49.16,297061.55,4562.119999999999,allergy,2005-11-30,,999-75-9476,mr.,mx,asian,nonhispanic,male,waltham  massachusetts ,winchester,massachusetts,middlesex county,42.47282661748736,-71.11767065045873,18,alive,united states,0 days 00:37:00,0,37,winchester hospital,vertie683 towne435,female,humana,2006,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,300916003,Latex,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,419474003,Mould,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,232350006,Dust Mite,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,232347008,Dander (animal),469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,418689008,Grass Pollen,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,419263009,Tree Pollen,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,420174000,Wheat,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,417532002,Fish,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2014-12-04,,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,469fbd8a-ec48-4da9-9165-027144ccf9a0,91935009,Peanuts,469fbd8a-ec48-4da9-9165-027144ccf9a0,2014-12-04 23:28:40,2014-12-05 00:08:40,ambulatory,185347001,129.16,129.16,59.16,156561.58000000002,2410.68,allergy,2013-07-02,,999-82-6451,ms.,single,white,nonhispanic,female,winthrop  massachusetts ,peabody,massachusetts,essex county,42.495161618943285,-71.00717490673976,11,alive,united states,0 days 00:40:00,0,40,hallmark health system,vern731 powlowski563,male,united health care,2014,1
2002-08-03,,ddfa05a6-b8a6-4208-b609-28f9a6a8d79e,5c63f72a-7af4-4bde-b416-f8f22a36239f,300913006,Shellfish,5c63f72a-7af4-4bde-b416-f8f22a36239f,2002-08-03 22:17:01,2002-08-03 23:05:01,ambulatory,185347001,129.16,129.16,59.16,420567.81,3346.4,allergy,2001-12-27,,999-83-2956,ms.,single,white,nonhispanic,female,woburn  massachusetts ,greenfield,massachusetts,franklin county,42.64255382613245,-72.63605724383343,22,alive,united states,0 days 00:48:00,0,48,baystate franklin medical center,von197 mraz590,male,united health care,2002,1
1963-03-30,,47a91815-0dca-49df-b1dc-8bb88d8c1b38,dbad793d-adf7-42e2-a134-c3e1eaeeea70,419474003,Mould,dbad793d-adf7-42e2-a134-c3e1eaeeea70,1963-03-30 17:04:24,1963-03-30 17:19:24,ambulatory,185347001,129.16,129.16,69.16,197930.71,28145.25,allergy,1959-03-04,,999-49-8312,mrs.,married,white,nonhispanic,female,stoneham  massachusetts ,westfield,massachusetts,hampden county,42.19564979914991,-72.75058240922496,65,alive,united states,0 days 00:15:00,0,15,noble hospital,óscar156 mateo562,male,medicaid,1963,1
